,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL
91,Nadal,Bombons,-,-,-,FERRERO Assortit de bombons Golden Gallery,"7,99 €",0.216kg,"(36,99 € per quilo)",Si,2a unitat 50% de descompte,https://www.compraonline.bonpreuesclat.cat/products/34765/details
92,Nadal,Bombons,-,-,-,FERRERO Bombons de xocolata i avellana,"4,99 €",0.2kg,"(24,95 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/27498/details
93,Nadal,Bombons,-,-,-,FERRERO Bombons de xocolata i avellana,"8,69 €",0.375kg,"(23,17 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/27511/details
94,Nadal,Bombons,-,-,-,CAJA ROJA Bombons,"4,95 €",0.2kg,"(24,75 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/03078/details
95,Nadal,Bombons,-,-,-,LINDT Assortit de bombons,"5,49 €",0.2kg,"(27,45 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/02086/details
96,Nadal,Bombons,-,-,-,MALTESERS Boles de xocolata,"2,75 €",0.175kg,"(15,71 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/23961/details
97,Nadal,Bombons,-,-,-,LINDT SENSATION Bombons de xocolata negra amb gerds,"3,89 €",0.15kg,"(25,93 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/06402/details
98,Nadal,Bombons,-,-,-,LINDT LINDOR Bombons de xocolata extra negra,"5,49 €",0.2kg,"(27,45 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/80415/details
99,Nadal,Bombons,-,-,-,FERRERO Bombons de xocolata i avellana,"8,39 €",0.3kg,"(27,97 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/15976/details
100,Nadal,Bombons,-,-,-,NESTLÉ Assortit bombons Caja Roja,"8,95 €",0.4kg,"(22,38 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/29547/details
101,Nadal,Bombons,-,-,-,LINDT Assortit de bombons gran,"13,99 €",0.469kg,"(29,83 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/21735/details
102,Nadal,Bombons,-,-,-,NESTLÉ AFTER EIGHT Làmines de xocolata amb menta,"4,30 €",0.3kg,"(14,33 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/32137/details
103,Nadal,Bombons,-,-,-,FERRERO Bombons de coco i ametlla,"3,29 €",0.15kg,"(21,93 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/62036/details
104,Nadal,Bombons,-,-,-,LINDT Assortiment de bombons,"9,99 €",0.375kg,"(26,64 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/67356/details
105,Nadal,Bombons,-,-,-,LACASA Trufes de cacau pur,"2,35 €",0.2kg,"(11,75 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/58401/details
106,Nadal,Bombons,-,-,-,VALOR Bombons sense sucre,"4,59 €",0.2kg,"(22,95 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/42088/details
107,Nadal,Bombons,-,-,-,NESTLÉ Bombons de xocolata,"4,95 €",0.15kg,"(33,00 € per quilo)",No,-,https://www.compraonline.bonpreuesclat.cat/products/30127/details
