Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari,Oferta,Promocio,URL,Date
Nadal,Bombons,-,-,-,FERRERO Bombons de coco i ametlla,"3,29 €",0.15kg,"(21,93 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/62036/details,02/11/2020
Nadal,Bombons,-,-,-,LINDT Assortiment de bombons,"9,99 €",0.375kg,"(26,64 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/67356/details,02/11/2020
Nadal,Bombons,-,-,-,LACASA Trufes de cacau pur,"2,35 €",0.2kg,"(11,75 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/58401/details,02/11/2020
Nadal,Bombons,-,-,-,VALOR Bombons sense sucre,"4,59 €",0.2kg,"(22,95 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/42088/details,02/11/2020
Nadal,Bombons,-,-,-,NESTLÉ Bombons de xocolata,"4,95 €",0.15kg,"(33,00 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/30127/details,02/11/2020
Nadal,Bombons,-,-,-,NESTLÉ Assortit de bombons Caja Roja,"19,89 €",0.8kg,"(24,86 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/35307/details,02/11/2020
Nadal,Bombons,-,-,-,PICO Confits,"1,25 €",0.1kg,"(12,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/29756/details,02/11/2020
Nadal,Bombons,-,-,-,ANTIU XIXONA Ametlles farcides,"2,89 €",0.15kg,"(19,27 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/00241/details,02/11/2020
Nadal,Bombons,-,-,-,LACASA Taronja recoberta de xocolata negra,"2,99 €",0.125kg,"(23,92 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/45654/details,02/11/2020
Nadal,Bombons,-,-,-,LACASITOS Pastilles xocolata de colors Lacasitos,"3,35 €",0.225kg,"(14,89 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/80076/details,02/11/2020
Nadal,Bombons,-,-,-,LACASA Boletes de cacauet i xocolata Conguitos,"3,10 €",0.2kg,"(15,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/69602/details,02/11/2020
Nadal,Bombons,-,-,-,VICENS Trufes,"3,89 €",0.12kg,"(32,42 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/68871/details,02/11/2020
Nadal,Bombons,-,-,-,PICO Pinyons,"2,25 €",0.1kg,"(22,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/27829/details,02/11/2020
Nadal,Bombons,-,-,-,LACASA Festuc cobert de xocolata amb llet,"2,99 €",0.1kg,"(29,90 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/00198/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,GIULIETTA Panettone,"2,95 €",0.5kg,"(5,90 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/31585/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Mantegades artesania,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/58396/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,BAULI Pandoro,"6,10 €",0.5kg,"(12,20 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/36690/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Mantegades Vimet,"5,25 €",0.8kg,"(6,56 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/07499/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,BAULI Panettone,"6,10 €",0.5kg,"(12,20 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/66392/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Assortit de mantegades,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/58398/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,GIULIETTA Panettone,"4,30 €",0.9kg,"(4,78 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/31223/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,BAULI Panettone amb xocolata,"7,40 €",0.5kg,"(14,80 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/47451/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Rosca de vi,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/27983/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,DALCOLLE Panettone farcit de xocolata,"6,25 €",0.75kg,"(8,33 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/43493/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Polvorons d'ametlles,"1,99 €",0.4kg,"(4,98 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/58397/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,GIULIETTA Pandoro,"3,25 €",0.5kg,"(6,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/16624/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,ARTESANIA Figuretes de massapà,"1,25 €",0.1kg,"(12,50 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/27144/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,LA FORTALEZA Assortit de mantegades,"1,99 €",0.3kg,"(6,63 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/22913/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,DALCOLLE Pandoro,"5,49 €",0.75kg,"(7,32 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/31225/details,02/11/2020
Nadal,Mantegades i panettones,-,-,-,BAULI Pandoro de xocolata,"10,95 €",0.75kg,"(14,60 € per quilo)",NO,-,https://www.compraonline.bonpreuesclat.cat/products/09523/details,02/11/2020
