,Categoria_1,Categoria_2,Categoria_3,Categoria_4,Categoria_5,Nom,Preu,Quantitat,Preu unitari
234,Ofertes,2es unitats amb descompte,-,-,-,SCHWEPPES Refresc de llimona,"0,69 €",0.33L,"(2,09 € per litre)"
235,Ofertes,2es unitats amb descompte,-,-,-,ORLANDO Tomàquet fregit,"0,68 €",0.35kg,"(1,94 € per quilo)"
236,Ofertes,2es unitats amb descompte,-,-,-,PRINCIPE Galetes mini farcides de crema de xoc.,"1,45 €",0.16kg,"(9,06 € per quilo)"
237,Ofertes,2es unitats amb descompte,-,-,-,CHIPS AHOY Galetes amb xocolata mini,"1,45 €",0.16kg,"(9,06 € per quilo)"
238,Ofertes,2es unitats amb descompte,-,-,-,EVAX Protector íntim normal,"2,13 €",50 per paquet,"(0,04 € per article)"
239,Ofertes,2es unitats amb descompte,-,-,-,FINDUS Pèsols superfins,"1,99 €",0.4kg,"(4,98 € per quilo)"
240,Ofertes,2es unitats amb descompte,-,-,-,OREO Galetes de cacau farcides de crema mini,"1,45 €",0.16kg,"(9,06 € per quilo)"
241,Ofertes,2es unitats amb descompte,-,-,-,LAY'S GOURMET Patates fregides tall fi,"2,29 €",0.15kg,"(15,27 € per quilo)"
242,Ofertes,2es unitats amb descompte,-,-,-,NESTLÉ CHOCAPIC Cereals torrats amb xocolata,"2,80 €",0.5kg,"(5,60 € per quilo)"
243,Ofertes,2es unitats amb descompte,-,-,-,SERPIS Olives farcides d'anxova,"2,99 €",3 x 0.05kg,"(19,93 € per quilo)"
244,NULL,NULL,NULL,NULL,NULL,PRODUCTE NO OBTINGUT,NULL,NULL,NULL
245,Ofertes,2es unitats amb descompte,-,-,-,SOLIS Tomàquet fregit amb oli d'oliva,"1,17 €",0.36kg,"(3,25 € per quilo)"
246,Ofertes,2es unitats amb descompte,-,-,-,BONPREU Tonyina clara en oli d'oliva,"1,24 €",0.072kg,"(17,22 € per quilo)"
247,Ofertes,2es unitats amb descompte,-,-,-,ROYAL Salmó fumat,"5,25 €",0.1kg,"(52,50 € per quilo)"
248,Ofertes,2es unitats amb descompte,-,-,-,GERMANOR Oli d'oliva verge extra,"6,09 €",0.75L,"(8,12 € per litre)"
249,Ofertes,2es unitats amb descompte,-,-,-,BUITONI Pasta de full rectangular,"1,99 €",0.23kg,"(8,65 € per quilo)"
250,Ofertes,2es unitats amb descompte,-,-,-,SNATT'S Bastonets de pa amb pipes,"0,89 €",0.062kg,"(14,35 € per quilo)"
251,Ofertes,2es unitats amb descompte,-,-,-,QUELY Picos amb oli d'oliva,"1,03 €",0.225kg,"(4,58 € per quilo)"
252,Ofertes,2es unitats amb descompte,-,-,-,VIVE SOY Beguda de soja natural,"1,45 €",1L,"(1,45 € per litre)"
253,Ofertes,2es unitats amb descompte,-,-,-,SCOTTEX Paper higiènic humit,"2,75 €",74 per paquet,"(0,04 € per article)"
254,Ofertes,2es unitats amb descompte,-,-,-,HELLMANN'S Maionesa,"1,15 €",0.225kg,"(5,11 € per quilo)"
255,Ofertes,2es unitats amb descompte,-,-,-,VERNEL Suavitzant concentrat Cel Blau,"2,75 €",1.311L,"(2,10 € per litre)"
256,Ofertes,2es unitats amb descompte,-,-,-,SEVEN UP Refresc de llima i llimona,"0,48 €",0.33L,"(1,45 € per litre)"
257,Ofertes,2es unitats amb descompte,-,-,-,GRANINI Nèctar de taronja sense sucre,"2,02 €",1L,"(2,02 € per litre)"
258,Ofertes,2es unitats amb descompte,-,-,-,ALBO Tonyina clara en oli d'oliva verge extra,"2,65 €",0.082kg,"(32,32 € per quilo)"
259,Ofertes,2es unitats amb descompte,-,-,-,EVAX Protector íntim maxi,"2,55 €",40 per paquet,"(0,06 € per article)"
260,Ofertes,Preu rebaixat,-,-,-,ESTRELLA DAMM Cervesa especial,"5,85 €",12 x 0.25L,"(1,95 € per litre)"
261,Ofertes,Preu rebaixat,-,-,-,YOSOY Beguda de civada ecològica,"1,35 €",1L,"(1,35 € per litre)"
262,Ofertes,Preu rebaixat,-,-,-,BONPREU Tonyina clara en oli d'oliva,"1,99 €",3 x 0.052kg,"(12,76 € per quilo)"
263,Ofertes,Preu rebaixat,-,-,-,COCA-COLA Refresc de cola,"7,68 €",12 x 0.33L,"(1,94 € per litre)"
264,Ofertes,Preu rebaixat,-,-,-,COCA-COLA Refresc de cola Zero,"6,96 €",12 x 0.33L,"(1,76 € per litre)"
265,Ofertes,Preu rebaixat,-,-,-,DAMM Cervesa Inedit,"1,09 €",0.33L,"(3,30 € per litre)"
266,Ofertes,Preu rebaixat,-,-,-,MILKA Xocolata amb llet,"0,79 €",0.125kg,"(6,32 € per quilo)"
267,Ofertes,Preu rebaixat,-,-,-,BONNATUR Pernil cuit extra,"1,85 €",0.14kg,"(13,21 € per quilo)"
268,Ofertes,Preu rebaixat,-,-,-,YOSOY Beguda d'arròs ecològica,"1,45 €",1L,"(1,45 € per litre)"
269,Ofertes,Preu rebaixat,-,-,-,BONPREU Llom de porc extra fi,"2,85 €",0.3kg,"(9,50 € per quilo)"
270,Ofertes,Preu rebaixat,-,-,-,MALQUERIDA Cervesa fresca,"0,49 €",0.25L,"(1,96 € per litre)"
271,Ofertes,Preu rebaixat,-,-,-,BONNATUR Pit d'indiot,"1,85 €",0.13kg,"(14,23 € per quilo)"
272,Ofertes,Preu rebaixat,-,-,-,TRINA Refresc de taronja sense gas,"1,15 €",1.5L,"(0,77 € per litre)"
273,Ofertes,Preu rebaixat,-,-,-,BONPREU Oli d'oliva verge extra,"3,29 €",0.75L,"(4,39 € per litre)"
274,Ofertes,Preu rebaixat,-,-,-,BONPREU Pernilets pollastre,"2,25 €",0.46kg,"(4,89 € per quilo)"
275,Ofertes,Preu rebaixat,-,-,-,BONPREU Llom de salmó sense pell,"7,59 €",0.25kg,"(30,36 € per quilo)"
276,Ofertes,Preu rebaixat,-,-,-,CRUZCAMPO Cervesa pilsen,"0,45 €",0.33L,"(1,36 € per litre)"
277,Ofertes,Preu rebaixat,-,-,-,LA COLLITA Cor d'enciam romà,"1,39 €",2 per paquet,"(0,70 € per article)"
278,Ofertes,Preu rebaixat,-,-,-,HANDY BAG Bossa escombraries antibacteris 30 l,"3,15 €",25 per paquet,"(0,13 € per article)"
279,Ofertes,Preu rebaixat,-,-,-,KIRI Formatge fos a porcions,"2,19 €",0.144kg,"(15,21 € per quilo)"
280,Ofertes,Preu rebaixat,-,-,-,MINUTE MAID Nèctar de taronja,"1,00 €",1L,"(1,00 € per litre)"
281,Ofertes,Preu rebaixat,-,-,-,BURGO DE ARIAS Formatge fresc natural,"3,85 €",6 x 0.072kg,"(8,91 € per quilo)"
282,Ofertes,Preu rebaixat,-,-,-,CARBONELL Oli d'oliva suau,"2,89 €",1L,"(2,89 € per litre)"
283,Ofertes,Preu rebaixat,-,-,-,SERPIS Olives negres sense pinyol,"1,99 €",2 x 0.043kg,"(23,14 € per quilo)"
284,Ofertes,Preu rebaixat,-,-,-,GARCIA BAQUERO Formatge de mescla semicurat,"2,85 €",0.2kg,"(14,25 € per quilo)"
285,Ofertes,Preu rebaixat,-,-,-,BONPREU Carn magra,"2,85 €",0.41kg,"(6,95 € per quilo)"
286,Ofertes,Preu rebaixat,-,-,-,FAIRY Sabó rentavaixelles aroma àloe vera,"2,49 €",0.82L,"(3,04 € per litre)"
287,Ofertes,Preu rebaixat,-,-,-,BONPREU Bacallà al punt de sal,"4,39 €",0.27kg,"(16,26 € per quilo)"
288,Ofertes,Preu rebaixat,-,-,-,ARLA Formatge mozzarella ratllat,"2,35 €",0.15kg,"(15,67 € per quilo)"
289,Ofertes,Preu rebaixat,-,-,-,JARDINS Vi blanc DO Empordà,"4,59 €",0.75L,"(6,12 € per litre)"
290,Ofertes,Unitats regal,-,-,-,BONPREU Pernil cuit extra extrafí,"1,45 €",0.15kg,"(9,67 € per quilo)"
291,Ofertes,Unitats regal,-,-,-,GALLINA BLANCA Brou casolà de pollastre,"1,80 €",1L,"(1,80 € per litre)"
292,Ofertes,Unitats regal,-,-,-,BONPREU Pernil serrano reserva,"4,29 €",0.24kg,"(17,88 € per quilo)"
